"Target: McGrath_1, Contains DAT files: APB_421481807ESC02700060000_______M2.DAT"
  486.5  ,    1200
  510.9  ,       0
  535.3  ,       0
  559.8  ,       0
  584.2  ,       0
  608.6  ,     116
  633.0  ,       0
  657.5  ,       0
  681.9  ,       0
  706.3  ,       2
  730.7  ,     245
  755.2  ,     256
  779.6  ,     245
  804.0  ,     281
  828.4  ,     286
  852.9  ,     290
  877.3  ,     273
  901.7  ,     358
  926.1  ,     449
  950.6  ,     506
  975.0  ,     607
  999.4  ,     642
 1023.8  ,     681
 1048.3  ,     757
 1072.7  ,     754
 1097.1  ,     855
 1121.5  ,    1044
 1146.0  ,    1183
 1170.4  ,    1488
 1194.8  ,    1764
 1219.2  ,    2078
 1243.7  ,    2137
 1268.1  ,    2131
 1292.5  ,    1984
 1316.9  ,    1766
 1341.4  ,    1667
 1365.8  ,    1701
 1390.2  ,    1918
 1414.6  ,    2331
 1439.1  ,    2751
 1463.5  ,    2993
 1487.9  ,    3129
 1512.3  ,    2938
 1536.8  ,    2758
 1561.2  ,    2742
 1585.6  ,    3194
 1610.0  ,    4034
 1634.5  ,    5419
 1658.9  ,    7159
 1683.3  ,    9044
 1707.7  ,   10518
 1732.2  ,   10831
 1756.6  ,   10232
 1781.0  ,    8963
 1805.4  ,    6943
 1829.9  ,    4876
 1854.3  ,    3377
 1878.7  ,    1995
 1903.1  ,    1206
 1927.6  ,     768
 1952.0  ,     566
 1976.4  ,     410
 2000.8  ,     335
 2025.3  ,     288
 2049.7  ,     224
 2074.1  ,     228
 2098.5  ,     200
 2123.0  ,     230
 2147.4  ,     237
 2171.8  ,     345
 2196.2  ,     435
 2220.7  ,     587
 2245.1  ,     674
 2269.5  ,     747
 2293.9  ,     857
 2318.4  ,     786
 2342.8  ,     779
 2367.2  ,     646
 2391.6  ,     474
 2416.1  ,     401
 2440.5  ,     277
 2464.9  ,     222
 2489.3  ,     209
 2513.8  ,     224
 2538.2  ,     273
 2562.6  ,     258
 2587.0  ,     291
 2611.5  ,     303
 2635.9  ,     300
 2660.3  ,     291
 2684.7  ,     230
 2709.2  ,     172
 2733.6  ,     128
 2758.0  ,     124
 2782.4  ,      77
 2806.9  ,      77
 2831.3  ,      89
 2855.7  ,      75
 2880.1  ,      65
 2904.6  ,      71
 2929.0  ,      56
 2953.4  ,      56
 2977.8  ,      82
 3002.3  ,      47
 3026.7  ,      54
 3051.1  ,      71
 3075.5  ,      45
 3100.0  ,      52
 3124.4  ,      56
 3148.8  ,      68
 3173.2  ,      73
 3197.7  ,      82
 3222.1  ,     105
 3246.5  ,     132
 3270.9  ,     169
 3295.4  ,     143
 3319.8  ,     157
 3344.2  ,     159
 3368.6  ,     138
 3393.1  ,     138
 3417.5  ,     117
 3441.9  ,     102
 3466.3  ,     101
 3490.8  ,     121
 3515.2  ,     162
 3539.6  ,     293
 3564.0  ,     359
 3588.5  ,     491
 3612.9  ,     625
 3637.3  ,     767
 3661.7  ,     847
 3686.2  ,     816
 3710.6  ,     756
 3735.0  ,     699
 3759.4  ,     564
 3783.9  ,     414
 3808.3  ,     242
 3832.7  ,     179
 3857.1  ,     115
 3881.6  ,      95
 3906.0  ,     102
 3930.4  ,      89
