"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.14  
MgO     ,  8.71    ,  0.25  
Al2O3   ,  7.98    ,  0.19  
SiO2    , 43.01    ,  0.64  
P2O5    ,  0.75    ,  0.05  
SO3     ,  3.29    ,  0.12  
Cl      ,  0.95    ,  0.04  
K2O     ,  1.96    ,  0.06  
CaO     ,  6.13    ,  0.08  
TiO2    ,  0.89    ,  0.05  
Cr2O3   ,  0.54    ,  0.03  
MnO     ,  0.47    ,  0.03  
FeO     , 22.35    ,  0.26  
Ni      ,  0.0360  ,  0.0035
Zn      ,  0.1214  ,  0.0040
Br      ,  0.0176  ,  0.0015
