"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  4.75    ,  0.17  
Al2O3   ,  9.41    ,  0.19  
SiO2    , 49.66    ,  0.54  
P2O5    ,  1.01    ,  0.07  
SO3     ,  3.73    ,  0.15  
Cl      ,  1.19    ,  0.06  
K2O     ,  1.13    ,  0.05  
CaO     ,  2.76    ,  0.07  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.27    ,  0.03  
MnO     ,  0.22    ,  0.03  
FeO     , 21.73    ,  0.26  
Ni      ,  0.1043  ,  0.0070
Zn      ,  0.2505  ,  0.0080
Br      ,  0.0176  ,  0.0015
