"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.14  
MgO     ,  4.97    ,  0.17  
Al2O3   ,  9.08    ,  0.19  
SiO2    , 51.36    ,  0.54  
P2O5    ,  1.31    ,  0.07  
SO3     ,  4.85    ,  0.08  
Cl      ,  1.13    ,  0.02  
K2O     ,  1.08    ,  0.04  
CaO     ,  3.75    ,  0.04  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     , 18.02    ,  0.20  
Ni      ,  0.0706  ,  0.0040
Zn      ,  0.1488  ,  0.0045
Br      ,  0.0667  ,  0.0025
