"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  5.34    ,  0.17  
Al2O3   ,  8.75    ,  0.19  
SiO2    , 46.32    ,  0.54  
P2O5    ,  0.90    ,  0.05  
SO3     ,  8.82    ,  0.15  
Cl      ,  1.07    ,  0.03  
K2O     ,  0.96    ,  0.04  
CaO     ,  6.05    ,  0.07  
TiO2    ,  0.96    ,  0.05  
Cr2O3   ,  0.26    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 17.46    ,  0.20  
Ni      ,  0.0722  ,  0.0040
Zn      ,  0.0887  ,  0.0030
Br      ,  0.0034  ,  0.0010
