"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.63    ,  0.14  
MgO     ,  3.08    ,  0.08  
Al2O3   ,  3.83    ,  0.10  
SiO2    , 20.79    ,  0.32  
P2O5    ,  0.76    ,  0.07  
SO3     , 35.54    ,  0.38  
Cl      ,  1.32    ,  0.03  
K2O     ,  0.32    ,  0.02  
CaO     , 24.20    ,  0.25  
TiO2    ,  0.36    ,  0.03  
Cr2O3   ,  0.16    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     ,  7.59    ,  0.13  
Ni      ,  0.0381  ,  0.0020
Zn      ,  0.0606  ,  0.0020
Br      ,  0.0272  ,  0.0010
