"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.85    ,  0.07  
MgO     ,  4.81    ,  0.17  
Al2O3   ,  4.28    ,  0.10  
SiO2    , 21.00    ,  0.21  
P2O5    ,  0.82    ,  0.05  
SO3     , 34.59    ,  0.35  
Cl      ,  1.20    ,  0.03  
K2O     ,  0.33    ,  0.01  
CaO     , 23.98    ,  0.25  
TiO2    ,  0.36    ,  0.02  
Cr2O3   ,  0.11    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     ,  6.44    ,  0.13  
Ni      ,  0.0266  ,  0.0015
Zn      ,  0.0489  ,  0.0015
Br      ,  0.0129  ,  0.0005
