"oxide ",  "APXS analysis ver 1"," statistical uncertainty (precision)"
Na2O    ,2.22,0.15
MgO     ,6.53,0.17
Al2O3   ,9.56,0.2
SiO2    ,43.7,0.4
P2O5    ,0.53,0.1
SO3     ,5.18,0.1
  Cl    ,0.61,0.02
K2O     ,0.59,0.06
CaO     ,7.38,0.1
TiO2    ,1.54,0.1
Cr2O3   ,0.42,0.03
MnO     ,0.44,0.03
FeO     ,21,0.1
  Ni    ,0.0311,0.002
  Zn    ,0.0269,0.002
  Br    ,0.0032,0.001
