"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.96    ,  0.07  
MgO     ,  0.99    ,  0.83  
Al2O3   ,  1.27    ,  0.96  
SiO2    , 63.59    ,  0.64  
P2O5    ,  1.84    ,  0.12  
SO3     , 13.10    ,  0.17  
Cl      ,  0.82    ,  0.03  
K2O     ,  0.23    ,  0.01  
CaO     ,  6.58    ,  0.07  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.01    ,  0.04  
FeO     ,  7.96    ,  0.13  
Ni      ,  0.0101  ,  0.0015
Zn      ,  0.0094  ,  0.0010
Br      ,  0.0545  ,  0.0020
