"Target: Pilgrim, Contains DAT files: APB_498214247ESC11350500676_______M1.DAT"
 7287.8  ,      74
 7312.2  ,      66
 7336.5  ,      82
 7360.9  ,      95
 7385.3  ,      88
 7409.6  ,     103
 7434.0  ,     107
 7458.4  ,     109
 7482.8  ,     118
 7507.1  ,     104
 7531.5  ,      97
 7555.9  ,      90
 7580.3  ,      72
 7604.6  ,      70
 7629.0  ,      86
 7653.4  ,      72
 7677.7  ,      75
 7702.1  ,      79
 7726.5  ,      78
 7750.9  ,      61
 7775.2  ,      77
 7799.6  ,      84
 7824.0  ,      87
 7848.3  ,      78
 7872.7  ,      99
 7897.1  ,     107
 7921.5  ,     110
 7945.8  ,      95
 7970.2  ,     102
 7994.6  ,     136
 8018.9  ,     113
 8043.3  ,     116
 8067.7  ,     106
 8092.1  ,      93
 8116.4  ,      80
 8140.8  ,      67
 8165.2  ,      75
 8189.5  ,      79
 8213.9  ,      70
 8238.3  ,      79
 8262.7  ,      89
 8287.0  ,      73
 8311.4  ,      65
 8335.8  ,      74
 8360.1  ,      75
 8384.5  ,      72
 8408.9  ,      81
 8433.3  ,      84
 8457.6  ,      76
 8482.0  ,      66
 8506.4  ,      92
 8530.7  ,      96
 8555.1  ,     114
 8579.5  ,     117
 8603.9  ,     143
 8628.2  ,     149
 8652.6  ,     131
 8677.0  ,     119
 8701.3  ,      89
 8725.7  ,      91
 8750.1  ,      89
 8774.5  ,      72
 8798.8  ,      60
 8823.2  ,      67
 8847.6  ,      88
 8871.9  ,      85
 8896.3  ,      80
 8920.7  ,      99
 8945.1  ,      59
 8969.4  ,      73
 8993.8  ,      75
 9018.2  ,      82
 9042.6  ,      79
 9066.9  ,      94
 9091.3  ,      85
 9115.7  ,      72
 9140.0  ,      94
 9164.4  ,      75
 9188.8  ,     105
 9213.2  ,      81
 9237.5  ,      76
 9261.9  ,      61
 9286.3  ,      81
 9310.6  ,      78
 9335.0  ,      79
 9359.4  ,      75
 9383.8  ,      77
 9408.1  ,      78
 9432.5  ,      59
 9456.9  ,      75
 9481.2  ,      72
 9505.6  ,      80
 9530.0  ,      67
 9554.4  ,      71
 9578.7  ,      76
 9603.1  ,      71
 9627.5  ,      80
 9651.8  ,      85
 9676.2  ,      75
 9700.6  ,      78
 9725.0  ,      75
 9749.3  ,     106
 9773.7  ,      78
 9798.1  ,     104
 9822.4  ,     122
 9846.8  ,     114
 9871.2  ,     132
 9895.6  ,     120
 9919.9  ,     113
 9944.3  ,      82
 9968.7  ,      78
 9993.0  ,      96
10017.4  ,      77
10041.8  ,      71
10066.2  ,      78
10090.5  ,      61
10114.9  ,      60
10139.3  ,      76
10163.6  ,      68
10188.0  ,      71
10212.4  ,      58
10236.8  ,      75
10261.1  ,      59
10285.5  ,      74
10309.9  ,      67
10334.2  ,      73
10358.6  ,      73
10383.0  ,      61
10407.4  ,      66
10431.7  ,      85
10456.1  ,      76
10480.5  ,      96
10504.8  ,      68
10529.2  ,      78
10553.6  ,      82
10578.0  ,      83
10602.3  ,      74
10626.7  ,      72
10651.1  ,      62
10675.5  ,      65
10699.8  ,      55
10724.2  ,      87
10748.6  ,      73
10772.9  ,      67
10797.3  ,      75
10821.7  ,      76
10846.1  ,      72
10870.4  ,      80
10894.8  ,      80
10919.2  ,      74
10943.5  ,      79
10967.9  ,      86
10992.3  ,      82
11016.7  ,      86
11041.0  ,     107
11065.4  ,      79
11089.8  ,      91
11114.1  ,      79
11138.5  ,      90
11162.9  ,      81
11187.3  ,     109
11211.6  ,      88
11236.0  ,      92
11260.4  ,      94
11284.7  ,      77
11309.1  ,     107
11333.5  ,     106
11357.9  ,     124
11382.2  ,     131
11406.6  ,     120
11431.0  ,     126
11455.3  ,     136
11479.7  ,     159
11504.1  ,     157
11528.5  ,     176
11552.8  ,     183
11577.2  ,     173
11601.6  ,     183
