"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.20  
MgO     ,  6.15    ,  0.33  
Al2O3   ,  9.00    ,  0.38  
SiO2    , 45.87    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  5.45    ,  0.12  
Cl      ,  1.04    ,  0.03  
K2O     ,  0.88    ,  0.04  
CaO     ,  3.89    ,  0.06  
TiO2    ,  0.95    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.21    ,  0.03  
FeO     , 22.41    ,  0.26  
Ni      ,  0.0781  ,  0.0040
Zn      ,  0.0722  ,  0.0025
Br      ,  0.0119  ,  0.0010
