"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.27  
MgO     ,  4.74    ,  0.33  
Al2O3   ,  9.14    ,  0.38  
SiO2    , 51.85    ,  0.75  
P2O5    ,  0.95    ,  0.09  
SO3     ,  4.47    ,  0.17  
Cl      ,  1.17    ,  0.06  
K2O     ,  1.19    ,  0.05  
CaO     ,  2.67    ,  0.07  
TiO2    ,  1.13    ,  0.07  
Cr2O3   ,  0.28    ,  0.05  
MnO     ,  0.16    ,  0.03  
FeO     , 19.71    ,  0.26  
Ni      ,  0.0893  ,  0.0070
Zn      ,  0.1252  ,  0.0050
Br      ,  0.0071  ,  0.0015
