"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.07  
MgO     ,  3.98    ,  0.08  
Al2O3   ,  8.16    ,  0.19  
SiO2    , 45.07    ,  0.54  
P2O5    ,  1.19    ,  0.07  
SO3     ,  9.97    ,  0.10  
Cl      ,  0.77    ,  0.02  
K2O     ,  0.81    ,  0.04  
CaO     ,  6.35    ,  0.07  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 19.67    ,  0.26  
Ni      ,  0.0909  ,  0.0050
Zn      ,  0.0771  ,  0.0025
Br      ,  0.0079  ,  0.0005
