"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.87    ,  0.14  
MgO     ,  8.42    ,  0.25  
Al2O3   ,  8.41    ,  0.19  
SiO2    , 41.35    ,  0.43  
P2O5    ,  0.85    ,  0.05  
SO3     ,  7.01    ,  0.08  
Cl      ,  1.40    ,  0.02  
K2O     ,  0.74    ,  0.02  
CaO     ,  6.33    ,  0.07  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.39    ,  0.01  
FeO     , 20.70    ,  0.26  
Ni      ,  0.0473  ,  0.0025
Zn      ,  0.0736  ,  0.0025
Br      ,  0.0257  ,  0.0010
