"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.28    ,  0.20  
MgO     ,  7.12    ,  0.25  
Al2O3   ,  7.59    ,  0.29  
SiO2    , 42.34    ,  0.64  
P2O5    ,  1.12    ,  0.09  
SO3     ,  8.98    ,  0.25  
Cl      ,  1.62    ,  0.07  
K2O     ,  0.82    ,  0.04  
CaO     ,  4.79    ,  0.10  
TiO2    ,  1.01    ,  0.10  
Cr2O3   ,  0.22    ,  0.05  
MnO     ,  0.27    ,  0.04  
FeO     , 21.38    ,  0.26  
Ni      ,  0.0959  ,  0.0075
Zn      ,  0.1099  ,  0.0050
Br      ,  0.0504  ,  0.0025
