"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.68    ,  0.14  
MgO     ,  5.58    ,  0.17  
Al2O3   ,  9.46    ,  0.29  
SiO2    , 50.55    ,  0.54  
P2O5    ,  1.12    ,  0.07  
SO3     ,  1.43    ,  0.05  
Cl      ,  0.84    ,  0.02  
K2O     ,  0.96    ,  0.04  
CaO     ,  5.28    ,  0.06  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 19.23    ,  0.20  
Ni      ,  0.0698  ,  0.0035
Zn      ,  0.0988  ,  0.0030
Br      ,  0.0021  ,  0.0005
