"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.14  
MgO     ,  7.86    ,  0.17  
Al2O3   ,  8.19    ,  0.19  
SiO2    , 38.79    ,  0.43  
P2O5    ,  3.56    ,  0.19  
SO3     , 10.93    ,  0.15  
Cl      ,  1.53    ,  0.04  
K2O     ,  0.57    ,  0.02  
CaO     ,  6.25    ,  0.07  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  1.91    ,  0.04  
FeO     , 16.26    ,  0.20  
Ni      ,  0.0367  ,  0.0025
Zn      ,  0.1967  ,  0.0060
Br      ,  0.0263  ,  0.0010
