"Target: Mescal_DRT_raster1, Contains DAT files: APB_470254694ESC08200441828_______M1.DAT"
 7128.4  ,    7329
 7152.8  ,    4024
 7177.2  ,    2202
 7201.7  ,    1044
 7226.1  ,     554
 7250.5  ,     319
 7274.9  ,     236
 7299.4  ,     235
 7323.8  ,     264
 7348.2  ,     327
 7372.6  ,     411
 7397.1  ,     526
 7421.5  ,     667
 7445.9  ,     748
 7470.3  ,     645
 7494.7  ,     618
 7519.2  ,     499
 7543.6  ,     357
 7568.0  ,     281
 7592.4  ,     239
 7616.9  ,     175
 7641.3  ,     176
 7665.7  ,     157
 7690.1  ,     185
 7714.6  ,     181
 7739.0  ,     162
 7763.4  ,     183
 7787.8  ,     189
 7812.2  ,     181
 7836.7  ,     205
 7861.1  ,     204
 7885.5  ,     205
 7909.9  ,     194
 7934.4  ,     198
 7958.8  ,     248
 7983.2  ,     236
 8007.6  ,     221
 8032.1  ,     243
 8056.5  ,     228
 8080.9  ,     216
 8105.3  ,     199
 8129.8  ,     175
 8154.2  ,     197
 8178.6  ,     232
 8203.0  ,     258
 8227.4  ,     242
 8251.9  ,     256
 8276.3  ,     261
 8300.7  ,     250
 8325.1  ,     211
 8349.6  ,     214
 8374.0  ,     231
 8398.4  ,     260
 8422.8  ,     315
 8447.3  ,     387
 8471.7  ,     580
 8496.1  ,    1003
 8520.5  ,    1458
 8544.9  ,    2122
 8569.4  ,    2652
 8593.8  ,    2976
 8618.2  ,    3118
 8642.6  ,    2928
 8667.1  ,    2352
 8691.5  ,    1735
 8715.9  ,    1228
 8740.3  ,     786
 8764.8  ,     441
 8789.2  ,     294
 8813.6  ,     221
 8838.0  ,     169
 8862.4  ,     174
 8886.9  ,     183
 8911.3  ,     167
 8935.7  ,     171
 8960.1  ,     178
 8984.6  ,     181
 9009.0  ,     168
 9033.4  ,     163
 9057.8  ,     188
 9082.3  ,     187
 9106.7  ,     181
 9131.1  ,     199
 9155.5  ,     216
 9179.9  ,     217
 9204.4  ,     221
 9228.8  ,     223
 9253.2  ,     250
 9277.6  ,     196
 9302.1  ,     208
 9326.5  ,     175
 9350.9  ,     203
 9375.3  ,     205
 9399.8  ,     249
 9424.2  ,     297
 9448.6  ,     353
 9473.0  ,     409
 9497.4  ,     469
 9521.9  ,     554
 9546.3  ,     656
 9570.7  ,     621
 9595.1  ,     581
 9619.6  ,     519
 9644.0  ,     371
 9668.4  ,     311
 9692.8  ,     256
 9717.3  ,     257
 9741.7  ,     246
 9766.1  ,     307
 9790.5  ,     357
 9814.9  ,     394
 9839.4  ,     397
 9863.8  ,     482
 9888.2  ,     432
 9912.6  ,     359
 9937.1  ,     327
 9961.5  ,     293
 9985.9  ,     227
10010.3  ,     164
10034.8  ,     172
10059.2  ,     132
10083.6  ,     150
10108.0  ,     147
10132.5  ,     151
10156.9  ,     143
10181.3  ,     151
10205.7  ,     147
10230.1  ,     151
10254.6  ,     165
10279.0  ,     152
10303.4  ,     168
10327.8  ,     165
10352.3  ,     163
10376.7  ,     178
10401.1  ,     202
10425.5  ,     228
10450.0  ,     245
10474.4  ,     305
10498.8  ,     343
10523.2  ,     331
10547.6  ,     369
10572.1  ,     353
10596.5  ,     319
10620.9  ,     266
10645.3  ,     240
10669.8  ,     207
10694.2  ,     178
10718.6  ,     158
10743.0  ,     157
10767.5  ,     147
10791.9  ,     143
10816.3  ,     156
10840.7  ,     162
10865.1  ,     186
10889.6  ,     193
10914.0  ,     192
10938.4  ,     194
10962.8  ,     221
10987.3  ,     184
11011.7  ,     194
11036.1  ,     198
11060.5  ,     170
11085.0  ,     208
11109.4  ,     193
11133.8  ,     235
11158.2  ,     216
11182.6  ,     216
11207.1  ,     201
11231.5  ,     234
11255.9  ,     231
11280.3  ,     225
11304.8  ,     208
11329.2  ,     218
11353.6  ,     223
11378.0  ,     240
11402.5  ,     251
11426.9  ,     265
11451.3  ,     259
11475.7  ,     301
11500.1  ,     312
11524.6  ,     295
11549.0  ,     298
11573.4  ,     286
11597.8  ,     304
11622.3  ,     294
11646.7  ,     279
11671.1  ,     306
11695.5  ,     303
11720.0  ,     291
11744.4  ,     319
11768.8  ,     326
11793.2  ,     343
11817.6  ,     327
11842.1  ,     332
11866.5  ,     373
11890.9  ,     428
11915.3  ,     358
11939.8  ,     371
11964.2  ,     378
11988.6  ,     381
12013.0  ,     372
12037.5  ,     429
12061.9  ,     495
12086.3  ,     501
12110.7  ,     534
12135.2  ,     458
12159.6  ,     476
12184.0  ,     465
12208.4  ,     356
12232.8  ,     344
12257.3  ,     306
12281.7  ,     294
12306.1  ,     261
12330.5  ,     262
12355.0  ,     263
12379.4  ,     258
12403.8  ,     274
12428.2  ,     297
12452.7  ,     302
12477.1  ,     307
12501.5  ,     349
12525.9  ,     380
12550.3  ,     400
12574.8  ,     396
12599.2  ,     460
12623.6  ,     472
12648.0  ,     459
12672.5  ,     449
12696.9  ,     401
12721.3  ,     411
12745.7  ,     411
12770.2  ,     423
12794.6  ,     477
12819.0  ,     474
12843.4  ,     445
12867.8  ,     479
12892.3  ,     517
12916.7  ,     533
12941.1  ,     548
12965.5  ,     599
12990.0  ,     619
13014.4  ,     645
13038.8  ,     698
13063.2  ,     733
13087.7  ,     842
13112.1  ,     891
13136.5  ,     994
13160.9  ,    1059
13185.3  ,    1188
13209.8  ,    1291
13234.2  ,    1446
13258.6  ,    1684
13283.0  ,    1781
13307.5  ,    1991
13331.9  ,    2128
13356.3  ,    2385
13380.7  ,    2463
13405.2  ,    2669
13429.6  ,    2739
13454.0  ,    2916
13478.4  ,    3027
13502.8  ,    3107
13527.3  ,    3076
13551.7  ,    3108
13576.1  ,    2961
13600.5  ,    3018
13625.0  ,    2888
13649.4  ,    2749
13673.8  ,    2519
13698.2  ,    2355
13722.7  ,    2076
13747.1  ,    1963
13771.5  ,    1798
13795.9  ,    1654
13820.3  ,    1446
13844.8  ,    1311
13869.2  ,    1266
13893.6  ,    1094
13918.0  ,    1128
13942.5  ,    1132
13966.9  ,    1214
13991.3  ,    1226
14015.7  ,    1477
14040.2  ,    1634
14064.6  ,    1738
14089.0  ,    2192
14113.4  ,    2421
14137.8  ,    2874
