"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.85    ,  0.14  
MgO     ,  4.44    ,  0.17  
Al2O3   , 11.56    ,  0.29  
SiO2    , 53.60    ,  0.64  
P2O5    ,  1.19    ,  0.07  
SO3     ,  3.81    ,  0.05  
Cl      ,  0.31    ,  0.01  
K2O     ,  0.77    ,  0.02  
CaO     ,  4.23    ,  0.06  
TiO2    ,  0.98    ,  0.03  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.31    ,  0.01  
FeO     , 15.31    ,  0.20  
Ni      ,  0.0437  ,  0.0025
Zn      ,  0.1391  ,  0.0045
Br      ,  0.0032  ,  0.0005
