"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.34    ,  0.14  
MgO     ,  2.93    ,  0.08  
Al2O3   , 10.74    ,  0.29  
SiO2    , 52.70    ,  0.54  
P2O5    ,  1.33    ,  0.07  
SO3     ,  2.54    ,  0.05  
Cl      ,  0.30    ,  0.01  
K2O     ,  0.98    ,  0.04  
CaO     ,  4.37    ,  0.06  
TiO2    ,  1.23    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 18.68    ,  0.20  
Ni      ,  0.0515  ,  0.0030
Zn      ,  0.1232  ,  0.0040
Br      ,  0.0039  ,  0.0005
