"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     ,  4.27    ,  0.17  
Al2O3   ,  8.40    ,  0.19  
SiO2    , 45.33    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  8.51    ,  0.12  
Cl      ,  1.04    ,  0.02  
K2O     ,  0.87    ,  0.04  
CaO     ,  6.01    ,  0.07  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 20.10    ,  0.26  
Ni      ,  0.1151  ,  0.0060
Zn      ,  0.1348  ,  0.0045
Br      ,  0.0029  ,  0.0005
