"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.62    ,  0.14  
MgO     ,  6.91    ,  0.17  
Al2O3   ,  9.02    ,  0.19  
SiO2    , 46.90    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     ,  6.62    ,  0.12  
Cl      ,  1.22    ,  0.04  
K2O     ,  0.79    ,  0.02  
CaO     ,  4.15    ,  0.06  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.15    ,  0.01  
FeO     , 18.79    ,  0.20  
Ni      ,  0.0926  ,  0.0050
Zn      ,  0.0890  ,  0.0030
Br      ,  0.0540  ,  0.0020
