"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.20  
MgO     ,  7.10    ,  0.25  
Al2O3   ,  9.45    ,  0.29  
SiO2    , 48.88    ,  0.75  
P2O5    ,  0.90    ,  0.07  
SO3     ,  6.04    ,  0.17  
Cl      ,  1.15    ,  0.05  
K2O     ,  0.74    ,  0.04  
CaO     ,  4.29    ,  0.08  
TiO2    ,  1.00    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.35    ,  0.03  
FeO     , 17.03    ,  0.20  
Ni      ,  0.0906  ,  0.0060
Zn      ,  0.1214  ,  0.0045
Br      ,  0.0118  ,  0.0015
