"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.14  
MgO     ,  8.95    ,  0.25  
Al2O3   ,  8.79    ,  0.19  
SiO2    , 45.20    ,  0.54  
P2O5    ,  0.80    ,  0.05  
SO3     ,  3.77    ,  0.08  
Cl      ,  0.79    ,  0.02  
K2O     ,  0.58    ,  0.02  
CaO     ,  5.79    ,  0.07  
TiO2    ,  0.89    ,  0.03  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 21.00    ,  0.26  
Ni      ,  0.0936  ,  0.0050
Zn      ,  0.1103  ,  0.0035
Br      ,  0.0231  ,  0.0010
