"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.20  
MgO     ,  6.23    ,  0.17  
Al2O3   ,  8.64    ,  0.19  
SiO2    , 46.45    ,  0.54  
P2O5    ,  1.09    ,  0.07  
SO3     ,  7.77    ,  0.20  
Cl      ,  1.05    ,  0.05  
K2O     ,  0.76    ,  0.04  
CaO     ,  5.18    ,  0.10  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.21    ,  0.03  
FeO     , 18.47    ,  0.20  
Ni      ,  0.0928  ,  0.0060
Zn      ,  0.1518  ,  0.0050
Br      ,  0.0212  ,  0.0015
