"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.87    ,  0.07  
MgO     ,  4.39    ,  0.17  
Al2O3   ,  5.24    ,  0.19  
SiO2    , 26.46    ,  0.32  
P2O5    ,  0.76    ,  0.05  
SO3     , 29.64    ,  0.30  
Cl      ,  1.32    ,  0.02  
K2O     ,  0.38    ,  0.01  
CaO     , 20.80    ,  0.21  
TiO2    ,  0.49    ,  0.02  
Cr2O3   ,  0.15    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     ,  8.17    ,  0.13  
Ni      ,  0.0361  ,  0.0020
Zn      ,  0.0863  ,  0.0030
Br      ,  0.0112  ,  0.0005
