"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.14    ,  0.07  
MgO     ,  5.34    ,  0.17  
Al2O3   ,  8.22    ,  0.19  
SiO2    , 44.93    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     , 12.11    ,  0.12  
Cl      ,  1.07    ,  0.02  
K2O     ,  0.79    ,  0.02  
CaO     ,  5.88    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.18    ,  0.01  
FeO     , 16.82    ,  0.20  
Ni      ,  0.0596  ,  0.0030
Zn      ,  0.0956  ,  0.0030
Br      ,  0.0478  ,  0.0015
