"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.14  
MgO     ,  7.16    ,  0.17  
Al2O3   ,  8.23    ,  0.19  
SiO2    , 44.07    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  8.75    ,  0.15  
Cl      ,  1.28    ,  0.03  
K2O     ,  0.74    ,  0.02  
CaO     ,  5.56    ,  0.06  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 18.77    ,  0.20  
Ni      ,  0.0659  ,  0.0035
Zn      ,  0.1174  ,  0.0040
Br      ,  0.0916  ,  0.0030
