"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.14  
MgO     ,  5.69    ,  0.17  
Al2O3   ,  9.25    ,  0.19  
SiO2    , 48.41    ,  0.54  
P2O5    ,  0.74    ,  0.05  
SO3     ,  5.64    ,  0.12  
Cl      ,  1.64    ,  0.04  
K2O     ,  1.11    ,  0.04  
CaO     ,  4.41    ,  0.06  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  0.13    ,  0.01  
FeO     , 18.84    ,  0.20  
Ni      ,  0.0924  ,  0.0050
Zn      ,  0.1297  ,  0.0040
Br      ,  0.0322  ,  0.0010
