"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.56    ,  0.14  
MgO     ,  3.04    ,  0.08  
Al2O3   , 11.06    ,  0.29  
SiO2    , 51.87    ,  0.54  
P2O5    ,  1.27    ,  0.07  
SO3     ,  1.85    ,  0.05  
Cl      ,  0.34    ,  0.01  
K2O     ,  0.97    ,  0.04  
CaO     ,  4.03    ,  0.04  
TiO2    ,  1.28    ,  0.05  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 19.85    ,  0.26  
Ni      ,  0.0423  ,  0.0025
Zn      ,  0.1212  ,  0.0040
Br      ,  0.0093  ,  0.0005
