"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  8.80    ,  0.25  
Al2O3   ,  9.21    ,  0.19  
SiO2    , 44.29    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  3.73    ,  0.10  
Cl      ,  0.82    ,  0.03  
K2O     ,  0.61    ,  0.02  
CaO     ,  6.07    ,  0.07  
TiO2    ,  0.97    ,  0.03  
Cr2O3   ,  0.45    ,  0.03  
MnO     ,  0.33    ,  0.03  
FeO     , 21.01    ,  0.26  
Ni      ,  0.0673  ,  0.0035
Zn      ,  0.0633  ,  0.0020
Br      ,  0.0280  ,  0.0010
