"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.20  
MgO     ,  7.53    ,  0.25  
Al2O3   ,  8.70    ,  0.29  
SiO2    , 47.25    ,  0.64  
P2O5    ,  1.03    ,  0.07  
SO3     ,  5.38    ,  0.17  
Cl      ,  1.70    ,  0.07  
K2O     ,  0.66    ,  0.04  
CaO     ,  3.88    ,  0.08  
TiO2    ,  1.07    ,  0.09  
Cr2O3   ,  0.36    ,  0.05  
MnO     ,  0.44    ,  0.04  
FeO     , 18.95    ,  0.20  
Ni      ,  0.0775  ,  0.0060
Zn      ,  0.3745  ,  0.0115
Br      ,  0.0825  ,  0.0025
