"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.20  
MgO     ,  5.87    ,  0.25  
Al2O3   ,  7.56    ,  0.19  
SiO2    , 37.34    ,  0.64  
P2O5    ,  0.90    ,  0.07  
SO3     , 15.92    ,  0.32  
Cl      ,  1.77    ,  0.07  
K2O     ,  0.72    ,  0.04  
CaO     , 10.12    ,  0.14  
TiO2    ,  0.81    ,  0.05  
Cr2O3   ,  0.27    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 15.57    ,  0.20  
Ni      ,  0.0728  ,  0.0060
Zn      ,  0.0820  ,  0.0040
Br      ,  0.0370  ,  0.0020
