"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.80    ,  0.14  
MgO     ,  5.49    ,  0.17  
Al2O3   ,  9.49    ,  0.29  
SiO2    , 46.25    ,  0.54  
P2O5    ,  1.49    ,  0.09  
SO3     ,  4.67    ,  0.10  
Cl      ,  2.25    ,  0.05  
K2O     ,  1.06    ,  0.04  
CaO     ,  2.97    ,  0.04  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.20    ,  0.01  
FeO     , 21.76    ,  0.26  
Ni      ,  0.0865  ,  0.0045
Zn      ,  0.0869  ,  0.0030
Br      ,  0.0027  ,  0.0010
