"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.14  
MgO     ,  5.60    ,  0.17  
Al2O3   ,  8.53    ,  0.19  
SiO2    , 47.37    ,  0.54  
P2O5    ,  0.97    ,  0.07  
SO3     ,  6.08    ,  0.08  
Cl      ,  1.17    ,  0.02  
K2O     ,  0.99    ,  0.04  
CaO     ,  4.44    ,  0.06  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 20.42    ,  0.26  
Ni      ,  0.0757  ,  0.0040
Zn      ,  0.0644  ,  0.0020
Br      ,  0.1184  ,  0.0040
