"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.88    ,  0.14  
MgO     ,  5.23    ,  0.17  
Al2O3   ,  9.46    ,  0.29  
SiO2    , 50.03    ,  0.54  
P2O5    ,  0.82    ,  0.05  
SO3     ,  5.13    ,  0.08  
Cl      ,  2.15    ,  0.03  
K2O     ,  1.06    ,  0.04  
CaO     ,  3.34    ,  0.04  
TiO2    ,  1.02    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 18.04    ,  0.20  
Ni      ,  0.0959  ,  0.0050
Zn      ,  0.1121  ,  0.0035
Br      ,  0.0094  ,  0.0005
