"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.75    ,  0.20  
MgO     ,  5.74    ,  0.33  
Al2O3   , 10.59    ,  0.58  
SiO2    , 53.25    ,  1.07  
P2O5    ,  0.67    ,  0.09  
SO3     ,  3.30    ,  0.17  
Cl      ,  0.99    ,  0.05  
K2O     ,  1.00    ,  0.06  
CaO     ,  3.44    ,  0.18  
TiO2    ,  0.75    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 16.20    ,  0.39  
Ni      ,  0.0852  ,  0.0055
Zn      ,  0.0649  ,  0.0035
Br      ,  0.0106  ,  0.0010
