"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.14  
MgO     ,  4.33    ,  0.17  
Al2O3   ,  9.28    ,  0.19  
SiO2    , 48.87    ,  0.54  
P2O5    ,  0.79    ,  0.05  
SO3     ,  9.56    ,  0.12  
Cl      ,  1.00    ,  0.03  
K2O     ,  0.80    ,  0.02  
CaO     ,  5.53    ,  0.06  
TiO2    ,  0.88    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.13    ,  0.01  
FeO     , 15.86    ,  0.20  
Ni      ,  0.0754  ,  0.0040
Zn      ,  0.0603  ,  0.0020
Br      ,  0.0079  ,  0.0005
