"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.24    ,  0.20  
MgO     ,  5.91    ,  0.25  
Al2O3   ,  8.66    ,  0.29  
SiO2    , 49.98    ,  0.75  
P2O5    ,  0.66    ,  0.07  
SO3     ,  4.08    ,  0.17  
Cl      ,  1.13    ,  0.06  
K2O     ,  1.07    ,  0.05  
CaO     ,  2.81    ,  0.08  
TiO2    ,  1.09    ,  0.07  
Cr2O3   ,  0.32    ,  0.05  
MnO     ,  0.07    ,  0.03  
FeO     , 21.59    ,  0.26  
Ni      ,  0.0896  ,  0.0070
Zn      ,  0.1363  ,  0.0055
Br      ,  0.0721  ,  0.0030
