"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     ,  6.91    ,  0.17  
Al2O3   ,  8.64    ,  0.19  
SiO2    , 44.72    ,  0.54  
P2O5    ,  0.92    ,  0.07  
SO3     , 10.29    ,  0.17  
Cl      ,  1.16    ,  0.04  
K2O     ,  0.83    ,  0.04  
CaO     ,  4.82    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 17.51    ,  0.20  
Ni      ,  0.1004  ,  0.0055
Zn      ,  0.1650  ,  0.0050
Br      ,  0.0174  ,  0.0010
