"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.45    ,  0.14  
MgO     ,  4.72    ,  0.17  
Al2O3   ,  8.75    ,  0.19  
SiO2    , 44.08    ,  0.54  
P2O5    ,  0.84    ,  0.05  
SO3     ,  7.59    ,  0.10  
Cl      ,  0.89    ,  0.02  
K2O     ,  0.91    ,  0.04  
CaO     ,  6.44    ,  0.07  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     , 21.53    ,  0.26  
Ni      ,  0.0914  ,  0.0050
Zn      ,  0.0847  ,  0.0030
Br      ,  0.0044  ,  0.0005
