"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.98    ,  0.20  
MgO     ,  5.32    ,  0.25  
Al2O3   , 12.00    ,  0.29  
SiO2    , 49.91    ,  0.75  
P2O5    ,  0.89    ,  0.07  
SO3     ,  5.13    ,  0.20  
Cl      ,  1.02    ,  0.06  
K2O     ,  3.44    ,  0.11  
CaO     ,  6.48    ,  0.13  
TiO2    ,  0.58    ,  0.05  
Cr2O3   ,  0.10    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 10.75    ,  0.13  
Ni      ,  0.0129  ,  0.0035
Zn      ,  0.0790  ,  0.0040
Br      ,  0.0042  ,  0.0010
