"Target: Nedrow_RP, Contains DAT files: APB_442146515ESC05030250000_______M2.DAT"
 7456.9  ,      10
 7481.3  ,      11
 7505.7  ,      16
 7530.1  ,      13
 7554.5  ,      10
 7578.9  ,       5
 7603.3  ,       6
 7627.7  ,       5
 7652.0  ,       3
 7676.4  ,      12
 7700.8  ,       7
 7725.2  ,       3
 7749.6  ,       8
 7774.0  ,      10
 7798.4  ,       4
 7822.8  ,       7
 7847.2  ,       4
 7871.5  ,      12
 7895.9  ,       9
 7920.3  ,      13
 7944.7  ,      15
 7969.1  ,      11
 7993.5  ,       7
 8017.9  ,       5
 8042.3  ,      10
 8066.6  ,       9
 8091.0  ,      12
 8115.4  ,      12
 8139.8  ,       8
 8164.2  ,      10
 8188.6  ,       7
 8213.0  ,       9
 8237.4  ,       4
 8261.7  ,      10
 8286.1  ,       7
 8310.5  ,       5
 8334.9  ,      10
 8359.3  ,       4
 8383.7  ,       4
 8408.1  ,      12
 8432.5  ,      10
 8456.8  ,      11
 8481.2  ,      25
 8505.6  ,      37
 8530.0  ,      46
 8554.4  ,      42
 8578.8  ,      58
 8603.2  ,      68
 8627.6  ,      71
 8651.9  ,      72
 8676.3  ,      49
 8700.7  ,      33
 8725.1  ,      31
 8749.5  ,      20
 8773.9  ,       7
 8798.3  ,       7
 8822.7  ,      11
 8847.0  ,       2
 8871.4  ,       5
 8895.8  ,      11
 8920.2  ,       6
 8944.6  ,       8
 8969.0  ,       2
 8993.4  ,       3
 9017.8  ,       6
 9042.1  ,      13
 9066.5  ,       4
 9090.9  ,       8
 9115.3  ,       4
 9139.7  ,       7
 9164.1  ,      10
 9188.5  ,       8
 9212.9  ,      12
 9237.2  ,       7
 9261.6  ,      10
 9286.0  ,       8
 9310.4  ,      14
 9334.8  ,      10
 9359.2  ,      12
 9383.6  ,      17
 9408.0  ,       8
 9432.3  ,      11
 9456.7  ,      14
 9481.1  ,      11
 9505.5  ,      22
 9529.9  ,      17
 9554.3  ,      14
 9578.7  ,      19
 9603.1  ,      25
 9627.4  ,      11
 9651.8  ,      13
 9676.2  ,       9
 9700.6  ,      10
 9725.0  ,      13
 9749.4  ,      18
 9773.8  ,      15
 9798.2  ,      15
 9822.5  ,      20
 9846.9  ,      21
 9871.3  ,      16
 9895.7  ,      19
 9920.1  ,      28
 9944.5  ,      10
 9968.9  ,       9
 9993.3  ,      12
10017.6  ,      13
10042.0  ,       7
10066.4  ,       6
10090.8  ,       7
10115.2  ,       5
10139.6  ,      14
10164.0  ,       4
10188.4  ,       9
10212.7  ,      10
10237.1  ,       7
10261.5  ,       5
10285.9  ,       5
10310.3  ,       7
10334.7  ,       7
10359.1  ,       4
10383.5  ,       9
10407.8  ,       9
10432.2  ,       6
10456.6  ,       5
10481.0  ,       7
10505.4  ,       4
10529.8  ,       4
10554.2  ,       9
10578.6  ,       6
10602.9  ,       4
10627.3  ,       4
10651.7  ,       3
10676.1  ,       7
10700.5  ,       8
10724.9  ,       6
10749.3  ,       6
10773.7  ,      10
10798.0  ,       8
10822.4  ,      11
10846.8  ,       8
10871.2  ,       3
10895.6  ,      11
10920.0  ,       4
10944.4  ,       8
10968.8  ,       3
10993.1  ,       9
11017.5  ,       6
11041.9  ,       9
11066.3  ,       7
11090.7  ,       4
11115.1  ,       5
11139.5  ,       3
11163.9  ,      11
11188.2  ,       3
11212.6  ,       6
11237.0  ,       9
11261.4  ,      13
11285.8  ,       9
11310.2  ,      14
11334.6  ,      13
11359.0  ,      12
11383.4  ,      11
11407.7  ,       8
11432.1  ,       7
11456.5  ,      15
11480.9  ,       8
11505.3  ,      14
11529.7  ,      17
11554.1  ,      12
11578.5  ,      19
11602.8  ,      10
11627.2  ,      15
11651.6  ,      14
11676.0  ,      16
11700.4  ,      21
11724.8  ,      19
11749.2  ,      15
11773.6  ,       7
11797.9  ,      15
11822.3  ,       7
11846.7  ,      23
11871.1  ,      23
11895.5  ,      21
11919.9  ,      23
11944.3  ,      18
11968.7  ,      14
11993.0  ,      20
12017.4  ,      18
12041.8  ,      20
12066.2  ,      20
12090.6  ,      17
12115.0  ,      30
12139.4  ,      16
12163.8  ,      26
12188.1  ,      22
12212.5  ,      22
12236.9  ,      10
