"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.75    ,  0.14  
MgO     ,  4.83    ,  0.17  
Al2O3   ,  9.01    ,  0.19  
SiO2    , 47.19    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     ,  6.59    ,  0.08  
Cl      ,  2.78    ,  0.03  
K2O     ,  0.98    ,  0.04  
CaO     ,  4.40    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 18.78    ,  0.20  
Ni      ,  0.0920  ,  0.0050
Zn      ,  0.0941  ,  0.0030
Br      ,  0.0379  ,  0.0015
