"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.14  
MgO     ,  4.68    ,  0.17  
Al2O3   ,  9.06    ,  0.19  
SiO2    , 50.16    ,  0.64  
P2O5    ,  1.03    ,  0.07  
SO3     ,  6.78    ,  0.15  
Cl      ,  1.09    ,  0.04  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.39    ,  0.07  
TiO2    ,  0.98    ,  0.05  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.22    ,  0.03  
FeO     , 17.39    ,  0.20  
Ni      ,  0.0950  ,  0.0050
Zn      ,  0.1896  ,  0.0060
Br      ,  0.0394  ,  0.0015
