"Target: Sayunei_RP_d, Contains DAT files: APA_412169393ESC01650052270_______M2.DAT"
 7472.5  ,      23
 7497.0  ,      22
 7521.4  ,      19
 7545.9  ,       9
 7570.3  ,       9
 7594.7  ,       9
 7619.2  ,       5
 7643.6  ,       3
 7668.1  ,       4
 7692.5  ,       3
 7716.9  ,       2
 7741.4  ,       3
 7765.8  ,       4
 7790.3  ,       6
 7814.7  ,       4
 7839.1  ,       9
 7863.6  ,       5
 7888.0  ,       3
 7912.5  ,       3
 7936.9  ,       6
 7961.3  ,       6
 7985.8  ,       3
 8010.2  ,       7
 8034.7  ,       6
 8059.1  ,       4
 8083.5  ,       9
 8108.0  ,       6
 8132.4  ,      12
 8156.9  ,       7
 8181.3  ,      12
 8205.7  ,       5
 8230.2  ,       8
 8254.6  ,       6
 8279.1  ,      10
 8303.5  ,       9
 8328.0  ,       9
 8352.4  ,       7
 8376.8  ,       5
 8401.3  ,      10
 8425.7  ,       6
 8450.2  ,       8
 8474.6  ,      12
 8499.0  ,      13
 8523.5  ,      19
 8547.9  ,      21
 8572.4  ,      23
 8596.8  ,      29
 8621.2  ,      49
 8645.7  ,      36
 8670.1  ,      27
 8694.6  ,      20
 8719.0  ,      17
 8743.4  ,      10
 8767.9  ,      11
 8792.3  ,       8
 8816.8  ,       7
 8841.2  ,       6
 8865.6  ,       5
 8890.1  ,       3
 8914.5  ,       4
 8939.0  ,       3
 8963.4  ,       4
 8987.9  ,       8
 9012.3  ,       4
 9036.7  ,       3
 9061.2  ,       7
 9085.6  ,       5
 9110.1  ,       8
 9134.5  ,       8
 9158.9  ,       4
 9183.4  ,       9
 9207.8  ,       4
 9232.3  ,       7
 9256.7  ,       8
 9281.1  ,       7
 9305.6  ,       7
 9330.0  ,       2
 9354.5  ,       6
 9378.9  ,       5
 9403.3  ,       6
 9427.8  ,       6
 9452.2  ,      10
 9476.7  ,       4
 9501.1  ,       4
 9525.5  ,      17
 9550.0  ,      11
 9574.4  ,       8
 9598.9  ,      11
 9623.3  ,       7
 9647.7  ,      13
 9672.2  ,       5
 9696.6  ,       3
 9721.1  ,       2
 9745.5  ,       6
 9770.0  ,       7
 9794.4  ,       5
 9818.8  ,      16
 9843.3  ,      14
 9867.7  ,      16
 9892.2  ,       9
 9916.6  ,       8
 9941.0  ,       9
 9965.5  ,       6
 9989.9  ,       2
10014.4  ,       4
10038.8  ,       9
10063.2  ,       0
10087.7  ,       7
10112.1  ,       3
10136.6  ,       5
10161.0  ,       4
10185.4  ,      10
10209.9  ,       1
10234.3  ,       8
10258.8  ,       8
10283.2  ,       7
10307.6  ,       4
10332.1  ,       3
10356.5  ,       4
10381.0  ,       3
10405.4  ,       5
10429.9  ,       4
10454.3  ,       5
10478.7  ,       4
10503.2  ,       6
10527.6  ,       2
10552.1  ,       0
10576.5  ,       9
10600.9  ,       5
10625.4  ,       2
10649.8  ,       8
10674.3  ,       2
10698.7  ,       7
10723.1  ,       8
10747.6  ,       5
10772.0  ,       3
10796.5  ,       4
10820.9  ,       5
10845.3  ,       6
10869.8  ,       4
10894.2  ,       9
10918.7  ,       6
10943.1  ,       9
10967.5  ,       2
10992.0  ,      10
11016.4  ,       4
11040.9  ,       3
11065.3  ,       1
11089.7  ,       0
11114.2  ,       8
11138.6  ,       9
11163.1  ,       7
11187.5  ,       2
11212.0  ,       9
11236.4  ,       9
11260.8  ,       5
11285.3  ,       4
11309.7  ,       6
11334.2  ,       6
11358.6  ,       7
11383.0  ,       7
11407.5  ,       4
11431.9  ,       5
11456.4  ,      10
11480.8  ,      10
11505.2  ,       5
11529.7  ,       6
11554.1  ,      10
11578.6  ,       7
11603.0  ,       8
11627.4  ,       4
11651.9  ,       4
11676.3  ,       9
11700.8  ,       5
11725.2  ,       8
11749.6  ,      16
11774.1  ,      17
11798.5  ,      11
11823.0  ,      17
11847.4  ,      14
11871.8  ,      21
11896.3  ,      18
11920.7  ,      24
11945.2  ,      29
11969.6  ,      14
11994.1  ,      17
12018.5  ,      10
12042.9  ,      14
12067.4  ,      14
12091.8  ,      18
12116.3  ,      18
12140.7  ,      15
12165.1  ,      14
12189.6  ,      10
12214.0  ,      15
12238.5  ,       7
12262.9  ,       9
12287.3  ,       7
12311.8  ,       9
12336.2  ,       7
12360.7  ,       7
12385.1  ,       5
12409.5  ,      12
12434.0  ,      13
12458.4  ,       7
12482.9  ,       4
12507.3  ,      10
12531.7  ,      10
12556.2  ,      12
12580.6  ,      11
12605.1  ,      15
12629.5  ,       7
12654.0  ,       6
12678.4  ,       9
12702.8  ,       6
12727.3  ,       7
12751.7  ,       7
12776.2  ,      13
12800.6  ,       9
12825.0  ,      13
12849.5  ,       8
12873.9  ,      19
12898.4  ,       8
12922.8  ,       6
12947.2  ,      10
12971.7  ,      17
12996.1  ,      16
13020.6  ,      14
13045.0  ,      11
13069.4  ,      15
13093.9  ,      15
13118.3  ,      23
13142.8  ,      20
13167.2  ,      25
13191.6  ,      24
13216.1  ,      36
13240.5  ,      31
13265.0  ,      35
13289.4  ,      31
13313.8  ,      40
13338.3  ,      49
13362.7  ,      61
13387.2  ,      53
13411.6  ,      46
13436.1  ,      54
