"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.20  
MgO     ,  6.74    ,  0.25  
Al2O3   ,  9.72    ,  0.28  
SiO2    , 44.98    ,  0.75  
P2O5    ,  0.69    ,  0.09  
SO3     ,  4.89    ,  0.22  
Cl      ,  1.18    ,  0.08  
K2O     ,  0.88    ,  0.06  
CaO     ,  6.05    ,  0.15  
TiO2    ,  1.25    ,  0.10  
Cr2O3   ,  0.37    ,  0.06  
MnO     ,  0.37    ,  0.04  
FeO     , 20.09    ,  0.26  
Ni      ,  0.0382  ,  0.0060
Zn      ,  0.0605  ,  0.0050
Br      ,  0.0138  ,  0.0020
