"Target: Sayunei_RP_c, Contains DAT files: APA_412168451ESC01650052270_______M2.DAT"
 7499.0  ,      16
 7523.5  ,      12
 7547.9  ,       5
 7572.4  ,       7
 7596.8  ,       7
 7621.3  ,       6
 7645.7  ,       4
 7670.2  ,       3
 7694.6  ,       3
 7719.1  ,       1
 7743.5  ,      10
 7768.0  ,       5
 7792.4  ,       5
 7816.9  ,       7
 7841.3  ,       7
 7865.8  ,       2
 7890.2  ,       7
 7914.7  ,       4
 7939.1  ,       3
 7963.6  ,       5
 7988.0  ,       6
 8012.5  ,       3
 8036.9  ,       5
 8061.4  ,       5
 8085.8  ,      11
 8110.3  ,       1
 8134.7  ,       7
 8159.2  ,       4
 8183.6  ,       8
 8208.1  ,       6
 8232.5  ,       9
 8257.0  ,       1
 8281.4  ,       5
 8305.9  ,       9
 8330.3  ,       7
 8354.8  ,       7
 8379.2  ,       6
 8403.7  ,       2
 8428.2  ,       9
 8452.6  ,       4
 8477.1  ,      10
 8501.5  ,      13
 8526.0  ,      10
 8550.4  ,      20
 8574.9  ,      26
 8599.3  ,      26
 8623.8  ,      26
 8648.2  ,      25
 8672.7  ,      21
 8697.1  ,      21
 8721.6  ,      15
 8746.0  ,       8
 8770.5  ,       8
 8794.9  ,       7
 8819.4  ,       8
 8843.8  ,       6
 8868.3  ,       4
 8892.7  ,       5
 8917.2  ,       3
 8941.6  ,       5
 8966.1  ,       8
 8990.5  ,       6
 9015.0  ,       1
 9039.4  ,       6
 9063.9  ,       3
 9088.3  ,       8
 9112.8  ,       4
 9137.2  ,       7
 9161.7  ,       8
 9186.1  ,       3
 9210.6  ,       5
 9235.0  ,       4
 9259.5  ,       6
 9283.9  ,       5
 9308.4  ,       7
 9332.8  ,       1
 9357.3  ,       1
 9381.7  ,       6
 9406.2  ,       6
 9430.6  ,       7
 9455.1  ,       8
 9479.5  ,       7
 9504.0  ,      11
 9528.4  ,       7
 9552.9  ,       5
 9577.3  ,      10
 9601.8  ,       8
 9626.2  ,       5
 9650.7  ,       7
 9675.1  ,       9
 9699.6  ,       3
 9724.1  ,      10
 9748.5  ,       6
 9773.0  ,       8
 9797.4  ,       8
 9821.9  ,       5
 9846.3  ,       9
 9870.8  ,       8
 9895.2  ,       8
 9919.7  ,       6
 9944.1  ,       1
 9968.6  ,       1
 9993.0  ,       3
10017.5  ,       7
10041.9  ,       6
10066.4  ,       4
10090.8  ,       7
10115.3  ,       3
10139.7  ,       2
10164.2  ,       2
10188.6  ,       3
10213.1  ,       3
10237.5  ,       5
10262.0  ,       4
10286.4  ,       8
10310.9  ,       2
10335.3  ,       2
10359.8  ,       2
10384.2  ,       4
10408.7  ,       7
10433.1  ,       2
10457.6  ,       4
10482.0  ,       4
10506.5  ,       7
10530.9  ,       2
10555.4  ,       5
10579.8  ,       1
10604.3  ,       6
10628.7  ,       7
10653.2  ,       4
10677.6  ,       8
10702.1  ,       4
10726.5  ,       4
10751.0  ,       7
10775.4  ,       3
10799.9  ,       8
10824.3  ,       2
10848.8  ,       4
10873.2  ,       5
10897.7  ,       4
10922.1  ,       6
10946.6  ,       7
10971.0  ,       4
10995.5  ,       4
11019.9  ,       4
11044.4  ,       7
11068.9  ,       4
11093.3  ,       9
11117.8  ,       4
11142.2  ,       9
11166.7  ,       5
11191.1  ,       7
11215.6  ,       5
11240.0  ,       6
11264.5  ,       6
11288.9  ,       8
11313.4  ,       4
11337.8  ,       4
11362.3  ,       9
11386.7  ,       4
11411.2  ,      10
11435.6  ,       5
11460.1  ,       2
11484.5  ,       6
11509.0  ,       8
11533.4  ,       7
11557.9  ,       3
11582.3  ,       8
11606.8  ,       9
11631.2  ,       5
11655.7  ,       4
11680.1  ,       5
11704.6  ,       7
11729.0  ,       7
11753.5  ,      12
11777.9  ,       8
11802.4  ,       8
11826.8  ,      13
11851.3  ,      13
11875.7  ,      17
11900.2  ,      20
11924.6  ,      15
11949.1  ,      17
11973.5  ,      14
11998.0  ,      15
12022.4  ,      15
12046.9  ,      19
12071.3  ,      10
12095.8  ,      18
12120.2  ,      17
12144.7  ,       8
12169.1  ,       6
12193.6  ,       4
12218.0  ,       5
12242.5  ,       8
12266.9  ,       9
12291.4  ,       7
12315.8  ,       8
12340.3  ,       4
12364.8  ,       5
12389.2  ,       4
12413.7  ,       6
12438.1  ,       6
12462.6  ,       7
12487.0  ,       4
12511.5  ,       3
12535.9  ,       5
12560.4  ,       6
12584.8  ,       5
12609.3  ,      10
12633.7  ,       7
12658.2  ,       8
12682.6  ,       8
12707.1  ,       9
12731.5  ,       4
12756.0  ,      10
12780.4  ,      10
12804.9  ,       8
12829.3  ,       5
12853.8  ,      13
12878.2  ,      12
12902.7  ,       6
12927.1  ,      12
12951.6  ,      14
12976.0  ,      11
13000.5  ,      13
13024.9  ,       5
13049.4  ,      17
13073.8  ,      17
13098.3  ,      25
13122.7  ,      14
13147.2  ,      25
13171.6  ,      25
13196.1  ,      20
13220.5  ,      30
13245.0  ,      46
13269.4  ,      25
13293.9  ,      33
13318.3  ,      41
13342.8  ,      44
13367.2  ,      54
13391.7  ,      47
13416.1  ,      53
13440.6  ,      55
13465.0  ,      63
13489.5  ,      45
13513.9  ,      65
13538.4  ,      50
13562.8  ,      48
13587.3  ,      54
13611.7  ,      49
13636.2  ,      46
13660.7  ,      47
13685.1  ,      33
13709.6  ,      34
13734.0  ,      35
13758.5  ,      33
13782.9  ,      25
13807.4  ,      29
13831.8  ,      21
13856.3  ,      30
13880.7  ,      21
13905.2  ,      24
13929.6  ,      15
13954.1  ,      22
13978.5  ,      23
14003.0  ,      27
14027.4  ,      31
14051.9  ,      26
14076.3  ,      24
14100.8  ,      34
14125.2  ,      36
14149.7  ,      48
14174.1  ,      71
14198.6  ,      68
14223.0  ,      86
14247.5  ,      76
14271.9  ,      78
14296.4  ,      95
14320.8  ,      76
14345.3  ,      54
14369.7  ,      59
14394.2  ,      38
14418.6  ,      26
14443.1  ,      17
14467.5  ,      19
14492.0  ,      15
14516.4  ,       7
14540.9  ,       6
14565.3  ,       9
14589.8  ,       8
14614.2  ,       9
14638.7  ,       2
14663.1  ,       8
14687.6  ,      11
14712.0  ,       7
14736.5  ,       7
14760.9  ,       5
14785.4  ,       9
14809.8  ,       6
14834.3  ,       8
14858.7  ,       6
14883.2  ,       7
14907.6  ,       7
14932.1  ,       5
14956.5  ,      16
14981.0  ,      10
15005.5  ,       9
15029.9  ,       3
15054.4  ,      12
15078.8  ,      10
15103.3  ,      10
15127.7  ,       7
15152.2  ,       9
15176.6  ,      14
15201.1  ,       9
15225.5  ,       6
15250.0  ,       7
15274.4  ,       8
15298.9  ,       9
15323.3  ,      12
15347.8  ,      14
15372.2  ,      11
15396.7  ,      13
15421.1  ,      21
15445.6  ,      11
15470.0  ,      11
15494.5  ,      14
15518.9  ,      26
