"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.15    ,  0.20  
MgO     ,  6.58    ,  0.25  
Al2O3   ,  7.92    ,  0.28  
SiO2    , 38.81    ,  0.64  
P2O5    ,  0.63    ,  0.09  
SO3     , 11.92    ,  0.32  
Cl      ,  1.27    ,  0.07  
K2O     ,  0.57    ,  0.05  
CaO     ,  9.30    ,  0.18  
TiO2    ,  1.16    ,  0.08  
Cr2O3   ,  0.33    ,  0.06  
MnO     ,  0.27    ,  0.04  
FeO     , 18.84    ,  0.19  
Ni      ,  0.0504  ,  0.0060
Zn      ,  0.0538  ,  0.0045
Br      ,  0.0129  ,  0.0015
