"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.12    ,  0.20  
MgO     ,  7.40    ,  0.25  
Al2O3   ,  7.85    ,  0.28  
SiO2    , 42.75    ,  0.64  
P2O5    ,  0.69    ,  0.09  
SO3     ,  6.21    ,  0.25  
Cl      ,  1.38    ,  0.08  
K2O     ,  0.49    ,  0.05  
CaO     ,  5.33    ,  0.14  
TiO2    ,  1.15    ,  0.08  
Cr2O3   ,  0.16    ,  0.04  
MnO     ,  0.34    ,  0.04  
FeO     , 23.85    ,  0.26  
Ni      ,  0.0671  ,  0.0070
Zn      ,  0.0666  ,  0.0050
Br      ,  0.0154  ,  0.0020
