"Target: Sayunei_RP_b, Contains DAT files: APA_412167507ESC01650052270_______M2.DAT"
 7476.3  ,      18
 7500.7  ,      16
 7525.2  ,       9
 7549.6  ,       9
 7574.1  ,       9
 7598.5  ,       7
 7623.0  ,       5
 7647.4  ,       2
 7671.9  ,       4
 7696.3  ,       2
 7720.8  ,       2
 7745.2  ,       3
 7769.7  ,       3
 7794.2  ,       4
 7818.6  ,       3
 7843.1  ,       9
 7867.5  ,       3
 7892.0  ,       7
 7916.4  ,       9
 7940.9  ,       6
 7965.3  ,       8
 7989.8  ,       9
 8014.2  ,       8
 8038.7  ,      12
 8063.1  ,       3
 8087.6  ,       3
 8112.0  ,       5
 8136.5  ,       8
 8160.9  ,       1
 8185.4  ,      13
 8209.8  ,       8
 8234.3  ,       5
 8258.8  ,       7
 8283.2  ,       8
 8307.7  ,       5
 8332.1  ,       7
 8356.6  ,       8
 8381.0  ,       4
 8405.5  ,       8
 8429.9  ,      11
 8454.4  ,       6
 8478.8  ,      10
 8503.3  ,      13
 8527.7  ,      12
 8552.2  ,      23
 8576.6  ,      25
 8601.1  ,      35
 8625.5  ,      34
 8650.0  ,      35
 8674.5  ,      27
 8698.9  ,      10
 8723.4  ,      11
 8747.8  ,       4
 8772.3  ,       5
 8796.7  ,       3
 8821.2  ,       3
 8845.6  ,       4
 8870.1  ,       5
 8894.5  ,       7
 8919.0  ,       7
 8943.4  ,       2
 8967.9  ,       9
 8992.3  ,       3
 9016.8  ,      10
 9041.2  ,       9
 9065.7  ,       7
 9090.1  ,       5
 9114.6  ,       3
 9139.1  ,       2
 9163.5  ,       4
 9188.0  ,       4
 9212.4  ,      10
 9236.9  ,       8
 9261.3  ,       7
 9285.8  ,       1
 9310.2  ,       2
 9334.7  ,       2
 9359.1  ,       6
 9383.6  ,       6
 9408.0  ,       2
 9432.5  ,       3
 9456.9  ,       6
 9481.4  ,       8
 9505.8  ,       6
 9530.3  ,       7
 9554.7  ,      12
 9579.2  ,       6
 9603.7  ,      10
 9628.1  ,      10
 9652.6  ,       8
 9677.0  ,       4
 9701.5  ,       7
 9725.9  ,       9
 9750.4  ,       7
 9774.8  ,       7
 9799.3  ,       8
 9823.7  ,       3
 9848.2  ,       6
 9872.6  ,       4
 9897.1  ,       9
 9921.5  ,       6
 9946.0  ,       3
 9970.4  ,       7
 9994.9  ,       7
10019.3  ,       6
10043.8  ,       9
10068.3  ,       5
10092.7  ,       4
10117.2  ,       2
10141.6  ,       5
10166.1  ,       4
10190.5  ,       3
10215.0  ,       5
10239.4  ,       3
10263.9  ,       3
10288.3  ,       7
10312.8  ,       5
10337.2  ,       2
10361.7  ,       1
10386.1  ,       5
10410.6  ,       6
10435.0  ,       5
10459.5  ,       6
10483.9  ,       6
10508.4  ,       1
10532.9  ,      12
10557.3  ,       3
10581.8  ,       4
10606.2  ,       2
10630.7  ,       2
10655.1  ,       3
10679.6  ,       5
10704.0  ,       3
10728.5  ,       4
10752.9  ,       1
10777.4  ,       4
10801.8  ,       8
10826.3  ,       4
10850.7  ,       2
10875.2  ,       6
10899.6  ,       4
10924.1  ,      12
10948.6  ,       7
10973.0  ,       4
10997.5  ,       5
11021.9  ,       5
11046.4  ,       5
11070.8  ,       7
11095.3  ,       5
11119.7  ,       5
11144.2  ,       5
11168.6  ,       7
11193.1  ,       2
11217.5  ,       4
11242.0  ,       7
11266.4  ,       4
11290.9  ,       9
11315.3  ,       2
11339.8  ,       6
11364.2  ,       3
11388.7  ,       8
11413.2  ,       8
11437.6  ,       5
11462.1  ,       9
11486.5  ,       9
11511.0  ,       4
11535.4  ,       6
11559.9  ,       6
11584.3  ,       3
11608.8  ,      10
11633.2  ,       4
11657.7  ,       9
