"Target: Sayunei_RP_a, Contains DAT files: APA_412166565ESC01650052270_______M2.DAT"
 7478.6  ,      14
 7503.1  ,      15
 7527.5  ,       9
 7552.0  ,      14
 7576.4  ,       7
 7600.9  ,       5
 7625.4  ,       4
 7649.8  ,       8
 7674.3  ,       7
 7698.8  ,       5
 7723.2  ,       3
 7747.7  ,       5
 7772.1  ,       4
 7796.6  ,       3
 7821.1  ,       0
 7845.5  ,       6
 7870.0  ,       4
 7894.5  ,       4
 7918.9  ,       6
 7943.4  ,       6
 7967.8  ,       4
 7992.3  ,       8
 8016.8  ,       5
 8041.2  ,       5
 8065.7  ,       6
 8090.2  ,       6
 8114.6  ,       6
 8139.1  ,       4
 8163.5  ,       8
 8188.0  ,       7
 8212.5  ,       8
 8236.9  ,       6
 8261.4  ,      16
 8285.9  ,       9
 8310.3  ,       9
 8334.8  ,       3
 8359.2  ,       7
 8383.7  ,       4
 8408.2  ,       4
 8432.6  ,      10
 8457.1  ,       3
 8481.6  ,       7
 8506.0  ,       7
 8530.5  ,      16
 8554.9  ,      26
 8579.4  ,      26
 8603.9  ,      42
 8628.3  ,      29
 8652.8  ,      31
 8677.3  ,      31
 8701.7  ,      14
 8726.2  ,      16
 8750.6  ,      13
 8775.1  ,       9
 8799.6  ,       2
 8824.0  ,       5
 8848.5  ,       5
 8873.0  ,       4
 8897.4  ,       4
 8921.9  ,       8
 8946.3  ,       4
 8970.8  ,       2
 8995.3  ,       6
 9019.7  ,       2
 9044.2  ,       3
 9068.7  ,       5
 9093.1  ,       3
 9117.6  ,       3
 9142.0  ,       4
 9166.5  ,       7
 9191.0  ,       6
 9215.4  ,       7
 9239.9  ,       8
 9264.4  ,       4
 9288.8  ,       7
 9313.3  ,       9
 9337.7  ,       3
 9362.2  ,       4
 9386.7  ,       5
 9411.1  ,       5
 9435.6  ,       3
 9460.1  ,       2
 9484.5  ,       4
 9509.0  ,       5
 9533.4  ,       8
 9557.9  ,      10
 9582.4  ,      11
 9606.8  ,       9
 9631.3  ,       3
 9655.8  ,      16
