"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.04    ,  0.20  
MgO     ,  7.06    ,  0.25  
Al2O3   ,  7.69    ,  0.28  
SiO2    , 38.24    ,  0.64  
P2O5    ,  0.73    ,  0.09  
SO3     , 12.86    ,  0.35  
Cl      ,  1.27    ,  0.07  
K2O     ,  0.52    ,  0.05  
CaO     ,  9.60    ,  0.18  
TiO2    ,  0.91    ,  0.08  
Cr2O3   ,  0.25    ,  0.04  
MnO     ,  0.23    ,  0.04  
FeO     , 18.33    ,  0.19  
Ni      ,  0.0464  ,  0.0055
Zn      ,  0.0518  ,  0.0040
Br      ,  0.0167  ,  0.0020
