"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  6.65    ,  0.17  
Al2O3   ,  8.70    ,  0.19  
SiO2    , 44.63    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  7.39    ,  0.08  
Cl      ,  0.87    ,  0.02  
K2O     ,  0.91    ,  0.04  
CaO     ,  5.75    ,  0.07  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.39    ,  0.01  
FeO     , 19.54    ,  0.26  
Ni      ,  0.0852  ,  0.0045
Zn      ,  0.0981  ,  0.0030
Br      ,  0.0353  ,  0.0015
