"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.16    ,  0.07  
MgO     ,  5.52    ,  0.17  
Al2O3   ,  8.08    ,  0.19  
SiO2    , 45.17    ,  0.54  
P2O5    ,  1.36    ,  0.07  
SO3     ,  9.40    ,  0.10  
Cl      ,  1.45    ,  0.02  
K2O     ,  0.81    ,  0.04  
CaO     ,  5.38    ,  0.06  
TiO2    ,  0.97    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.08    ,  0.01  
FeO     , 19.04    ,  0.20  
Ni      ,  0.0878  ,  0.0045
Zn      ,  0.0888  ,  0.0030
Br      ,  0.0612  ,  0.0020
