"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  5.40    ,  0.17  
Al2O3   ,  5.55    ,  0.19  
SiO2    , 58.04    ,  0.64  
P2O5    ,  0.99    ,  0.07  
SO3     , 11.15    ,  0.15  
Cl      ,  1.38    ,  0.03  
K2O     ,  0.47    ,  0.02  
CaO     ,  6.97    ,  0.07  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.43    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     ,  5.72    ,  0.07  
Ni      ,  0.0101  ,  0.0015
Zn      ,  0.0140  ,  0.0010
Br      ,  0.0476  ,  0.0015
