"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.99    ,  0.14  
MgO     ,  7.18    ,  0.17  
Al2O3   ,  8.93    ,  0.19  
SiO2    , 45.03    ,  0.54  
P2O5    ,  0.84    ,  0.05  
SO3     ,  8.62    ,  0.10  
Cl      ,  1.21    ,  0.02  
K2O     ,  0.48    ,  0.02  
CaO     ,  7.52    ,  0.08  
TiO2    ,  0.88    ,  0.03  
Cr2O3   ,  0.43    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 15.52    ,  0.20  
Ni      ,  0.0323  ,  0.0020
Zn      ,  0.0189  ,  0.0010
Br      ,  0.0125  ,  0.0005
