"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.34    ,  0.14  
MgO     ,  8.77    ,  0.25  
Al2O3   ,  7.38    ,  0.19  
SiO2    , 39.06    ,  0.43  
P2O5    ,  0.90    ,  0.05  
SO3     ,  8.43    ,  0.10  
Cl      ,  1.74    ,  0.03  
K2O     ,  0.88    ,  0.04  
CaO     ,  5.52    ,  0.06  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.51    ,  0.01  
FeO     , 22.82    ,  0.26  
Ni      ,  0.0395  ,  0.0020
Zn      ,  0.1067  ,  0.0035
Br      ,  0.0733  ,  0.0025
