"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  7.42    ,  0.17  
Al2O3   ,  8.68    ,  0.19  
SiO2    , 46.01    ,  0.54  
P2O5    ,  0.91    ,  0.05  
SO3     ,  6.79    ,  0.10  
Cl      ,  1.53    ,  0.03  
K2O     ,  0.82    ,  0.04  
CaO     ,  4.14    ,  0.04  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.53    ,  0.01  
FeO     , 18.83    ,  0.20  
Ni      ,  0.0737  ,  0.0040
Zn      ,  0.2321  ,  0.0070
Br      ,  0.0472  ,  0.0015
