"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.20  
MgO     ,  6.67    ,  0.25  
Al2O3   ,  8.50    ,  0.29  
SiO2    , 48.63    ,  0.75  
P2O5    ,  0.69    ,  0.07  
SO3     ,  4.77    ,  0.17  
Cl      ,  1.49    ,  0.07  
K2O     ,  1.07    ,  0.05  
CaO     ,  3.24    ,  0.08  
TiO2    ,  1.03    ,  0.07  
Cr2O3   ,  0.35    ,  0.05  
MnO     ,  0.12    ,  0.03  
FeO     , 20.63    ,  0.26  
Ni      ,  0.0997  ,  0.0075
Zn      ,  0.2778  ,  0.0085
Br      ,  0.1184  ,  0.0040
