"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.20  
MgO     ,  5.79    ,  0.25  
Al2O3   ,  8.67    ,  0.29  
SiO2    , 48.33    ,  0.86  
P2O5    ,  1.09    ,  0.09  
SO3     ,  3.36    ,  0.17  
Cl      ,  0.79    ,  0.06  
K2O     ,  0.94    ,  0.05  
CaO     ,  3.60    ,  0.10  
TiO2    ,  1.18    ,  0.07  
Cr2O3   ,  0.30    ,  0.05  
MnO     ,  0.33    ,  0.04  
FeO     , 22.74    ,  0.26  
Ni      ,  0.0912  ,  0.0085
Zn      ,  0.2238  ,  0.0085
Br      ,  0.0672  ,  0.0035
