"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.09    ,  0.20  
MgO     ,  4.92    ,  0.17  
Al2O3   , 12.63    ,  0.29  
SiO2    , 46.36    ,  0.64  
P2O5    ,  0.62    ,  0.05  
SO3     ,  4.26    ,  0.15  
Cl      ,  1.35    ,  0.05  
K2O     ,  3.58    ,  0.11  
CaO     ,  5.14    ,  0.08  
TiO2    ,  0.81    ,  0.05  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.24    ,  0.03  
FeO     , 15.53    ,  0.20  
Ni      ,  0.0138  ,  0.0030
Zn      ,  0.1057  ,  0.0040
Br      ,  0.0090  ,  0.0010
