"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  5.66    ,  0.17  
Al2O3   ,  9.32    ,  0.19  
SiO2    , 48.27    ,  0.54  
P2O5    ,  0.72    ,  0.05  
SO3     ,  4.98    ,  0.08  
Cl      ,  1.39    ,  0.02  
K2O     ,  1.19    ,  0.04  
CaO     ,  3.96    ,  0.04  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 20.03    ,  0.26  
Ni      ,  0.0767  ,  0.0040
Zn      ,  0.0948  ,  0.0030
Br      ,  0.0342  ,  0.0015
