"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.87    ,  0.07  
MgO     ,  1.93    ,  0.08  
Al2O3   ,  4.75    ,  0.19  
SiO2    , 72.50    ,  0.75  
P2O5    ,  1.29    ,  0.07  
SO3     ,  7.55    ,  0.10  
Cl      ,  0.34    ,  0.01  
K2O     ,  1.00    ,  0.04  
CaO     ,  2.42    ,  0.03  
TiO2    ,  1.65    ,  0.05  
Cr2O3   ,  0.05    ,  0.01  
MnO     ,  0.05    ,  0.04  
FeO     ,  4.42    ,  0.07  
Ni      ,  0.0100  ,  0.0010
Zn      ,  0.0208  ,  0.0010
Br      ,  0.0055  ,  0.0005
